Question,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit,Correct Answer(s)
L1 · Pregunta 1 — Escucha y mira la imagen. ¿Coinciden?,✅ Sí coinciden,❌ No coinciden,,,20,2
L1 · Pregunta 2 — Escucha y mira la imagen. ¿Coinciden?,✅ Sí coinciden,❌ No coinciden,,,20,1
L1 · Pregunta 3 — Escucha y mira la imagen. ¿Coinciden?,✅ Sí coinciden,❌ No coinciden,,,20,2
L1 · Pregunta 4 — Escucha y mira la imagen. ¿Coinciden?,✅ Sí coinciden,❌ No coinciden,,,20,2
L1 · Pregunta 5 — Escucha y mira la imagen. ¿Coinciden?,✅ Sí coinciden,❌ No coinciden,,,20,1
L2 · Pregunta 6 — Escucha y elige la imagen correcta.,Imagen A,Imagen B,Imagen C,,25,3
L2 · Pregunta 7 — Escucha y elige la imagen correcta.,Imagen A,Imagen B,Imagen C,,25,1
L2 · Pregunta 8 — Escucha y elige la imagen correcta.,Imagen A,Imagen B,Imagen C,,25,2
L2 · Pregunta 9 — Escucha y elige la imagen correcta.,Imagen A,Imagen B,Imagen C,,25,2
L2 · Pregunta 10 — Escucha y elige la imagen correcta.,Imagen A,Imagen B,Imagen C,,25,2
L3 · Pregunta 11 — Escucha y elige la imagen de la galería.,Imagen B,Imagen D,Imagen E,Imagen F,25,2
L3 · Pregunta 12 — Escucha y elige la imagen de la galería.,Imagen A,Imagen B,Imagen D,Imagen E,25,2
L3 · Pregunta 13 — Escucha y elige la imagen de la galería.,Imagen A,Imagen B,Imagen D,Imagen E,25,1
L3 · Pregunta 14 — Escucha y elige la imagen de la galería.,Imagen B,Imagen D,Imagen E,Imagen F,25,3
L3 · Pregunta 15 — Escucha y elige la imagen de la galería.,Imagen B,Imagen D,Imagen E,Imagen F,25,4
L4 · Pregunta 16 — Escucha y elige la respuesta correcta.,14 kuài,19 kuài,27 kuài,,25,3
L4 · Pregunta 17 — Escucha y elige la respuesta correcta.,mǎi diànnǎo,hěn piàoliang,xuésheng duō,,25,2
L4 · Pregunta 18 — Escucha y elige la respuesta correcta.,7 yuè 2 hào,zuótiān shàngwǔ,yí ge duō yuè qián,,25,3
L4 · Pregunta 19 — Escucha y elige la respuesta correcta.,kāi chē,zuò fēijī,zuò chūzū chē,,25,3
L4 · Pregunta 20 — Escucha y elige la respuesta correcta.,jiā lǐ,fàndiàn,diànyǐngyuàn,,25,2
"R1 · ¿La palabra ""shuǐguǒ"" coincide con la imagen?",✅ Sí coincide,❌ No coincide,,,20,2
"R1 · ¿La palabra ""xiānsheng"" coincide con la imagen?",✅ Sí coincide,❌ No coincide,,,20,2
"R1 · ¿La palabra ""māo"" coincide con la imagen?",✅ Sí coincide,❌ No coincide,,,20,1
"R1 · ¿La palabra ""lěng"" coincide con la imagen?",✅ Sí coincide,❌ No coincide,,,20,1
"R1 · ¿La palabra ""xuéxí"" coincide con la imagen?",✅ Sí coincide,❌ No coincide,,,20,2
"R2 · Xiàmiàn nàgè dà, shàngmiàn nàgè xiǎo",Imagen C,Imagen D,Imagen E,Imagen F,25,4
R2 · Wǒ xiànzài bù xiǎng tīng nǐ shuō,Imagen A,Imagen B,Imagen C,Imagen D,25,1
R2 · Duìbùqǐ wǒ xiǎng qù shuìjiào,Imagen B,Imagen C,Imagen D,Imagen E,25,3
R2 · Tā zài jiālǐ kàn diànshì ne,Imagen A,Imagen B,Imagen C,Imagen D,25,3
R2 · Bàba nǐ zài zuò shénme cài,Imagen A,Imagen B,Imagen C,Imagen D,25,2
