question,correct,wrong1,wrong2,wrong3
¿Qué significa 学校 (xuéxiào)?,escuela,casa,hospital,tienda
¿Qué significa 学生 (xuésheng)?,estudiante,profesor,padre,amigo
¿Qué significa 老师 (lǎoshī)?,profesor,doctor,abogado,policía
¿Qué significa 同学 (tóngxué)?,compañero de clase,hermano,vecino,primo
¿Qué significa 学习 (xuéxí)?,estudiar/aprender,trabajar,dormir,jugar
¿Qué significa 读 (dú)?,leer,escribir,hablar,escuchar
¿Qué significa 写 (xiě)?,escribir,leer,dibujar,pintar
¿Qué significa 书 (shū)?,libro,cuaderno,papel,lápiz
¿Qué significa 本 (běn)?,clasificador para libros,libro,cuaderno,página
¿Qué significa 字 (zì)?,carácter/letra,palabra,frase,oración
¿Qué significa 汉语 (hànyǔ)?,chino mandarín,inglés,japonés,español
¿Qué significa 说 (shuō)?,hablar/decir,escuchar,leer,escribir
¿Qué significa 听 (tīng)?,escuchar,hablar,mirar,leer
¿Qué significa 看 (kàn)?,mirar/ver,oír,oler,tocar
¿Qué significa 看见 (kànjiàn)?,ver (resultativo),mirar,escuchar,saber
¿Qué significa 会 (huì)?,poder/saber hacer,querer,deber,necesitar
¿Qué significa 能 (néng)?,poder (capacidad),deber,querer,gustar
¿Qué significa 先生 (xiānsheng)?,señor / Sr.,señora,niño,joven
"¿Cómo se dice ""escuela"" en chino?",学校 (xuéxiào),家 (jiā),医院 (yīyuàn),公园 (gōngyuán)
"¿Cómo se dice ""estudiante"" en chino?",学生 (xuésheng),老师 (lǎoshī),同学 (tóngxué),先生 (xiānsheng)
"¿Cómo se dice ""profesor"" en chino?",老师 (lǎoshī),学生 (xuésheng),先生 (xiānsheng),医生 (yīshēng)
"¿Cómo se dice ""leer"" en chino?",读 (dú),写 (xiě),看 (kàn),听 (tīng)
"¿Cómo se dice ""escribir"" en chino?",写 (xiě),读 (dú),画 (huà),说 (shuō)
"¿Cómo se dice ""libro"" en chino?",书 (shū),本子 (běnzi),纸 (zhǐ),笔 (bǐ)
"¿Cómo se dice ""chino mandarín"" en chino?",汉语 (hànyǔ),中国 (zhōngguó),日语 (rìyǔ),英语 (yīngyǔ)
"¿Cómo se dice ""hablar"" en chino?",说 (shuō),听 (tīng),看 (kàn),问 (wèn)
"¿Cómo se dice ""escuchar"" en chino?",听 (tīng),说 (shuō),看 (kàn),读 (dú)
"En clase de chino, ¿qué practicas?",汉字 (hànzì),数学 (shùxué),deportes,música
"¿Cómo le dices a tu profesor de chino?",老师 (lǎoshī),先生 (xiānsheng),同学 (tóngxué),朋友 (péngyǒu)
"Frase: ""Yo soy estudiante"" en chino:",我是学生 (wǒ shì xuésheng),我有学生 (wǒ yǒu xuésheng),你是学生 (nǐ shì xuésheng),他学生 (tā xuésheng)
"Frase: ""Sé hablar chino"" en chino:",我会说汉语 (wǒ huì shuō hànyǔ),我说汉语 (wǒ shuō hànyǔ),我有汉语 (wǒ yǒu hànyǔ),我吃汉语 (wǒ chī hànyǔ)
"¿Cuál de estas acciones haces con un libro?",读 (leer),听 (escuchar),写 (escribir),说 (hablar)
"¿Qué usa la profesora para escribir en el pizarrón?",字 (caracteres),书 (libros),茶 (té),agua
"¿Cuál es la diferencia entre 看 y 看见?",看 = mirar / 看见 = ver,Son sinónimos,看 = ver / 看见 = mirar,No hay diferencia
