question,correct,wrong1,wrong2,wrong3
What is the capital of Japan?,Tokyo,Kyoto,Osaka,Seoul
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury
How many continents are there?,7,5,6,8
What is the largest ocean on Earth?,Pacific,Atlantic,Indian,Arctic
Who painted the Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Michelangelo
What is 9 x 7?,63,56,72,49
Which gas do plants absorb from the atmosphere?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen
What year did World War II end?,1945,1939,1944,1950
What is the chemical symbol for gold?,Au,Ag,Gd,Go
Which animal is the largest mammal?,Blue whale,Elephant,Giraffe,Polar bear
What is the smallest prime number?,2,1,3,0
How many sides does a hexagon have?,6,5,7,8
What is the speed of light approximately?,300000 km/s,150000 km/s,500000 km/s,1000000 km/s
Which country invented paper?,China,Egypt,Greece,India
What is the hardest natural substance?,Diamond,Gold,Iron,Quartz
Who wrote Romeo and Juliet?,Shakespeare,Dickens,Hemingway,Tolstoy
What is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi
How many bones does an adult human have?,206,201,210,196
Which language has the most native speakers?,Mandarin,English,Spanish,Hindi
What is the boiling point of water in Celsius?,100,90,110,80
